Fielding start,Fielding end,Politician,State,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
04/01/2021,06/30/2021,Joe Biden,Vermont,Registered Voters,859,0.03,0.64,0.32,0.31
04/01/2021,06/30/2021,Joe Biden,Virginia,Registered Voters,10661,0.01,0.55,0.41,0.14
04/01/2021,06/30/2021,Joe Biden,Washington,Registered Voters,7463,0.01,0.58,0.37,0.21
04/01/2021,06/30/2021,Joe Biden,West Virginia,Registered Voters,2569,0.02,0.33,0.62,-0.28
04/01/2021,06/30/2021,Joe Biden,Wisconsin,Registered Voters,8830,0.01,0.5,0.47,0.03
04/01/2021,06/30/2021,Joe Biden,Wyoming,Registered Voters,623,0.04,0.28,0.68,-0.41
07/01/2021,09/30/2021,Joe Biden,Alabama,Registered Voters,8446,0.01,0.38,0.58,-0.2
07/01/2021,09/30/2021,Joe Biden,Alaska,Registered Voters,569,0.04,0.4,0.51,-0.12
07/01/2021,09/30/2021,Joe Biden,Arizona,Registered Voters,11418,0.01,0.45,0.52,-0.07
07/01/2021,09/30/2021,Joe Biden,Arkansas,Registered Voters,4717,0.01,0.36,0.6,-0.23
07/01/2021,09/30/2021,Joe Biden,California,Registered Voters,33781,0.01,0.61,0.35,0.26
07/01/2021,09/30/2021,Joe Biden,Colorado,Registered Voters,6479,0.01,0.53,0.43,0.1
07/01/2021,09/30/2021,Joe Biden,Connecticut,Registered Voters,6262,0.01,0.55,0.41,0.14
07/01/2021,09/30/2021,Joe Biden,Delaware,Registered Voters,2387,0.02,0.55,0.42,0.13
07/01/2021,09/30/2021,Joe Biden,District of Columbia,Registered Voters,885,0.03,0.81,0.14,0.67
07/01/2021,09/30/2021,Joe Biden,Florida,Registered Voters,44218,0,0.47,0.49,-0.02
07/01/2021,09/30/2021,Joe Biden,Georgia,Registered Voters,16927,0.01,0.48,0.49,-0.01
07/01/2021,09/30/2021,Joe Biden,Hawaii,Registered Voters,1719,0.02,0.52,0.42,0.11
07/01/2021,09/30/2021,Joe Biden,Idaho,Registered Voters,1796,0.02,0.37,0.59,-0.22
07/01/2021,09/30/2021,Joe Biden,Illinois,Registered Voters,18559,0.01,0.54,0.42,0.12
07/01/2021,09/30/2021,Joe Biden,Indiana,Registered Voters,10548,0.01,0.39,0.57,-0.18
07/01/2021,09/30/2021,Joe Biden,Iowa,Registered Voters,4320,0.01,0.43,0.54,-0.11
07/01/2021,09/30/2021,Joe Biden,Kansas,Registered Voters,3972,0.02,0.4,0.57,-0.17
07/01/2021,09/30/2021,Joe Biden,Kentucky,Registered Voters,9027,0.01,0.37,0.59,-0.22
07/01/2021,09/30/2021,Joe Biden,Louisiana,Registered Voters,5612,0.01,0.43,0.53,-0.1
07/01/2021,09/30/2021,Joe Biden,Maine,Registered Voters,2648,0.02,0.51,0.44,0.07
07/01/2021,09/30/2021,Joe Biden,Maryland,Registered Voters,8537,0.01,0.62,0.35,0.27
07/01/2021,09/30/2021,Joe Biden,Massachusetts,Registered Voters,10228,0.01,0.6,0.36,0.23
07/01/2021,09/30/2021,Joe Biden,Michigan,Registered Voters,16715,0.01,0.48,0.48,0
07/01/2021,09/30/2021,Joe Biden,Minnesota,Registered Voters,7778,0.01,0.49,0.47,0.02
07/01/2021,09/30/2021,Joe Biden,Mississippi,Registered Voters,3953,0.02,0.42,0.52,-0.1
07/01/2021,09/30/2021,Joe Biden,Missouri,Registered Voters,10707,0.01,0.41,0.55,-0.14
07/01/2021,09/30/2021,Joe Biden,Montana,Registered Voters,1307,0.03,0.38,0.59,-0.21
07/01/2021,09/30/2021,Joe Biden,Nebraska,Registered Voters,2991,0.02,0.35,0.61,-0.26
07/01/2021,09/30/2021,Joe Biden,Nevada,Registered Voters,5181,0.01,0.47,0.49,-0.02
07/01/2021,09/30/2021,Joe Biden,New Hampshire,Registered Voters,2349,0.02,0.49,0.49,-0.01
07/01/2021,09/30/2021,Joe Biden,New Jersey,Registered Voters,13975,0.01,0.55,0.41,0.14
07/01/2021,09/30/2021,Joe Biden,New Mexico,Registered Voters,2067,0.02,0.52,0.44,0.08
07/01/2021,09/30/2021,Joe Biden,New York,Registered Voters,33509,0.01,0.57,0.39,0.19
07/01/2021,09/30/2021,Joe Biden,North Carolina,Registered Voters,17813,0.01,0.47,0.49,-0.03
07/01/2021,09/30/2021,Joe Biden,North Dakota,Registered Voters,873,0.03,0.29,0.66,-0.37
07/01/2021,09/30/2021,Joe Biden,Ohio,Registered Voters,21857,0.01,0.44,0.52,-0.07
07/01/2021,09/30/2021,Joe Biden,Oklahoma,Registered Voters,5948,0.01,0.33,0.62,-0.29
07/01/2021,09/30/2021,Joe Biden,Oregon,Registered Voters,5554,0.01,0.53,0.44,0.09
07/01/2021,09/30/2021,Joe Biden,Pennsylvania,Registered Voters,24157,0.01,0.47,0.49,-0.02
07/01/2021,09/30/2021,Joe Biden,Rhode Island,Registered Voters,1945,0.02,0.53,0.43,0.1
07/01/2021,09/30/2021,Joe Biden,South Carolina,Registered Voters,9472,0.01,0.45,0.51,-0.06
07/01/2021,09/30/2021,Joe Biden,South Dakota,Registered Voters,1308,0.03,0.37,0.61,-0.24
07/01/2021,09/30/2021,Joe Biden,Tennessee,Registered Voters,11601,0.01,0.38,0.58,-0.19
07/01/2021,09/30/2021,Joe Biden,Texas,Registered Voters,32686,0.01,0.45,0.51,-0.05
07/01/2021,09/30/2021,Joe Biden,Utah,Registered Voters,2973,0.02,0.36,0.6,-0.24
07/01/2021,09/30/2021,Joe Biden,Vermont,Registered Voters,976,0.03,0.61,0.34,0.27
07/01/2021,09/30/2021,Joe Biden,Virginia,Registered Voters,13158,0.01,0.51,0.46,0.05
07/01/2021,09/30/2021,Joe Biden,Washington,Registered Voters,8053,0.01,0.56,0.4,0.16
07/01/2021,09/30/2021,Joe Biden,West Virginia,Registered Voters,3710,0.02,0.3,0.66,-0.35
07/01/2021,09/30/2021,Joe Biden,Wisconsin,Registered Voters,9443,0.01,0.46,0.51,-0.04
07/01/2021,09/30/2021,Joe Biden,Wyoming,Registered Voters,672,0.04,0.24,0.72,-0.48
10/01/2021,12/31/2021,Joe Biden,Alabama,Registered Voters,8217,0.01,0.34,0.62,-0.28
10/01/2021,12/31/2021,Joe Biden,Alaska,Registered Voters,678,0.04,0.38,0.56,-0.18
10/01/2021,12/31/2021,Joe Biden,Arizona,Registered Voters,11099,0.01,0.42,0.55,-0.13
10/01/2021,12/31/2021,Joe Biden,Arkansas,Registered Voters,4920,0.01,0.35,0.61,-0.26
10/01/2021,12/31/2021,Joe Biden,California,Registered Voters,35796,0.01,0.57,0.39,0.18
10/01/2021,12/31/2021,Joe Biden,Colorado,Registered Voters,6686,0.01,0.51,0.47,0.04
10/01/2021,12/31/2021,Joe Biden,Connecticut,Registered Voters,6090,0.01,0.5,0.47,0.03
10/01/2021,12/31/2021,Joe Biden,Delaware,Registered Voters,2343,0.02,0.52,0.45,0.06
10/01/2021,12/31/2021,Joe Biden,District of Columbia,Registered Voters,804,0.03,0.71,0.24,0.47
10/01/2021,12/31/2021,Joe Biden,Florida,Registered Voters,43900,0,0.44,0.53,-0.1
10/01/2021,12/31/2021,Joe Biden,Georgia,Registered Voters,16713,0.01,0.45,0.52,-0.08
10/01/2021,12/31/2021,Joe Biden,Hawaii,Registered Voters,1729,0.02,0.48,0.49,-0.01
10/01/2021,12/31/2021,Joe Biden,Idaho,Registered Voters,1775,0.02,0.3,0.65,-0.34
10/01/2021,12/31/2021,Joe Biden,Illinois,Registered Voters,19390,0.01,0.5,0.46,0.03
10/01/2021,12/31/2021,Joe Biden,Indiana,Registered Voters,11564,0.01,0.35,0.62,-0.27
10/01/2021,12/31/2021,Joe Biden,Iowa,Registered Voters,4416,0.01,0.39,0.58,-0.18
10/01/2021,12/31/2021,Joe Biden,Kansas,Registered Voters,4026,0.02,0.37,0.61,-0.25
10/01/2021,12/31/2021,Joe Biden,Kentucky,Registered Voters,9398,0.01,0.34,0.63,-0.3
10/01/2021,12/31/2021,Joe Biden,Louisiana,Registered Voters,6011,0.01,0.37,0.59,-0.22
10/01/2021,12/31/2021,Joe Biden,Maine,Registered Voters,2677,0.02,0.46,0.51,-0.05
10/01/2021,12/31/2021,Joe Biden,Maryland,Registered Voters,8955,0.01,0.56,0.39,0.17
10/01/2021,12/31/2021,Joe Biden,Massachusetts,Registered Voters,9854,0.01,0.55,0.41,0.14
10/01/2021,12/31/2021,Joe Biden,Michigan,Registered Voters,18679,0.01,0.43,0.53,-0.1
10/01/2021,12/31/2021,Joe Biden,Minnesota,Registered Voters,8118,0.01,0.46,0.5,-0.05
10/01/2021,12/31/2021,Joe Biden,Mississippi,Registered Voters,4041,0.02,0.37,0.58,-0.21
10/01/2021,12/31/2021,Joe Biden,Missouri,Registered Voters,11225,0.01,0.37,0.6,-0.23
10/01/2021,12/31/2021,Joe Biden,Montana,Registered Voters,1373,0.03,0.37,0.61,-0.24
10/01/2021,12/31/2021,Joe Biden,Nebraska,Registered Voters,3032,0.02,0.31,0.66,-0.35
10/01/2021,12/31/2021,Joe Biden,Nevada,Registered Voters,5166,0.01,0.45,0.5,-0.05
10/01/2021,12/31/2021,Joe Biden,New Hampshire,Registered Voters,2361,0.02,0.44,0.53,-0.08
10/01/2021,12/31/2021,Joe Biden,New Jersey,Registered Voters,14157,0.01,0.51,0.45,0.07
10/01/2021,12/31/2021,Joe Biden,New Mexico,Registered Voters,2246,0.02,0.46,0.49,-0.03
10/01/2021,12/31/2021,Joe Biden,New York,Registered Voters,34561,0.01,0.53,0.43,0.1
10/01/2021,12/31/2021,Joe Biden,North Carolina,Registered Voters,17722,0.01,0.42,0.55,-0.13
10/01/2021,12/31/2021,Joe Biden,North Dakota,Registered Voters,967,0.03,0.25,0.72,-0.48
10/01/2021,12/31/2021,Joe Biden,Ohio,Registered Voters,22770,0.01,0.4,0.57,-0.17
10/01/2021,12/31/2021,Joe Biden,Oklahoma,Registered Voters,5862,0.01,0.3,0.66,-0.36
10/01/2021,12/31/2021,Joe Biden,Oregon,Registered Voters,5937,0.01,0.48,0.48,0.01
10/01/2021,12/31/2021,Joe Biden,Pennsylvania,Registered Voters,25142,0.01,0.42,0.54,-0.12
10/01/2021,12/31/2021,Joe Biden,Rhode Island,Registered Voters,2095,0.02,0.47,0.5,-0.03
10/01/2021,12/31/2021,Joe Biden,South Carolina,Registered Voters,9726,0.01,0.41,0.56,-0.15
10/01/2021,12/31/2021,Joe Biden,South Dakota,Registered Voters,1327,0.03,0.36,0.63,-0.27
10/01/2021,12/31/2021,Joe Biden,Tennessee,Registered Voters,11857,0.01,0.36,0.61,-0.25
10/01/2021,12/31/2021,Joe Biden,Texas,Registered Voters,32705,0.01,0.42,0.54,-0.12
10/01/2021,12/31/2021,Joe Biden,Utah,Registered Voters,3087,0.02,0.38,0.58,-0.2
10/01/2021,12/31/2021,Joe Biden,Vermont,Registered Voters,937,0.03,0.54,0.45,0.09
10/01/2021,12/31/2021,Joe Biden,Virginia,Registered Voters,13805,0.01,0.47,0.49,-0.02
10/01/2021,12/31/2021,Joe Biden,Washington,Registered Voters,8362,0.01,0.54,0.42,0.12
10/01/2021,12/31/2021,Joe Biden,West Virginia,Registered Voters,3987,0.02,0.25,0.72,-0.47
10/01/2021,12/31/2021,Joe Biden,Wisconsin,Registered Voters,10492,0.01,0.44,0.53,-0.09
10/01/2021,12/31/2021,Joe Biden,Wyoming,Registered Voters,731,0.04,0.24,0.73,-0.48
01/01/2022,03/31/2022,Joe Biden,Alabama,Registered Voters,7340,0.01,0.32,0.64,-0.32
01/01/2022,03/31/2022,Joe Biden,Alaska,Registered Voters,611,0.04,0.35,0.58,-0.23
01/01/2022,03/31/2022,Joe Biden,Arizona,Registered Voters,9474,0.01,0.41,0.55,-0.14
01/01/2022,03/31/2022,Joe Biden,Arkansas,Registered Voters,4570,0.01,0.32,0.64,-0.32
01/01/2022,03/31/2022,Joe Biden,California,Registered Voters,37244,0.01,0.57,0.39,0.19
01/01/2022,03/31/2022,Joe Biden,Colorado,Registered Voters,6014,0.01,0.47,0.49,-0.03
01/01/2022,03/31/2022,Joe Biden,Connecticut,Registered Voters,5946,0.01,0.47,0.49,-0.02
01/01/2022,03/31/2022,Joe Biden,Delaware,Registered Voters,2234,0.02,0.5,0.45,0.04
01/01/2022,03/31/2022,Joe Biden,District of Columbia,Registered Voters,742,0.04,0.75,0.21,0.53
01/01/2022,03/31/2022,Joe Biden,Florida,Registered Voters,39900,0,0.43,0.54,-0.11
01/01/2022,03/31/2022,Joe Biden,Georgia,Registered Voters,14781,0.01,0.42,0.54,-0.11
01/01/2022,03/31/2022,Joe Biden,Hawaii,Registered Voters,1481,0.03,0.52,0.43,0.09
01/01/2022,03/31/2022,Joe Biden,Idaho,Registered Voters,1682,0.02,0.27,0.69,-0.41
01/01/2022,03/31/2022,Joe Biden,Illinois,Registered Voters,18573,0.01,0.49,0.47,0.02
01/01/2022,03/31/2022,Joe Biden,Indiana,Registered Voters,10698,0.01,0.34,0.62,-0.28
01/01/2022,03/31/2022,Joe Biden,Iowa,Registered Voters,4226,0.02,0.37,0.6,-0.23
01/01/2022,03/31/2022,Joe Biden,Kansas,Registered Voters,3845,0.02,0.36,0.61,-0.25
01/01/2022,03/31/2022,Joe Biden,Kentucky,Registered Voters,9703,0.01,0.32,0.65,-0.33
01/01/2022,03/31/2022,Joe Biden,Louisiana,Registered Voters,5313,0.01,0.35,0.61,-0.26
01/01/2022,03/31/2022,Joe Biden,Maine,Registered Voters,2660,0.02,0.43,0.55,-0.11
01/01/2022,03/31/2022,Joe Biden,Maryland,Registered Voters,7915,0.01,0.54,0.42,0.12
01/01/2022,03/31/2022,Joe Biden,Massachusetts,Registered Voters,9849,0.01,0.53,0.43,0.1
01/01/2022,03/31/2022,Joe Biden,Michigan,Registered Voters,17849,0.01,0.42,0.55,-0.13
01/01/2022,03/31/2022,Joe Biden,Minnesota,Registered Voters,7802,0.01,0.44,0.53,-0.09
01/01/2022,03/31/2022,Joe Biden,Mississippi,Registered Voters,3691,0.02,0.36,0.6,-0.24
01/01/2022,03/31/2022,Joe Biden,Missouri,Registered Voters,10505,0.01,0.34,0.62,-0.28
01/01/2022,03/31/2022,Joe Biden,Montana,Registered Voters,1209,0.03,0.37,0.59,-0.22
01/01/2022,03/31/2022,Joe Biden,Nebraska,Registered Voters,2501,0.02,0.3,0.67,-0.37
01/01/2022,03/31/2022,Joe Biden,Nevada,Registered Voters,4497,0.01,0.42,0.54,-0.11
01/01/2022,03/31/2022,Joe Biden,New Hampshire,Registered Voters,2294,0.02,0.42,0.55,-0.13
01/01/2022,03/31/2022,Joe Biden,New Jersey,Registered Voters,13995,0.01,0.47,0.48,-0.02
01/01/2022,03/31/2022,Joe Biden,New Mexico,Registered Voters,1888,0.02,0.45,0.51,-0.07
01/01/2022,03/31/2022,Joe Biden,New York,Registered Voters,32704,0.01,0.51,0.45,0.06
01/01/2022,03/31/2022,Joe Biden,North Carolina,Registered Voters,16794,0.01,0.4,0.56,-0.16
01/01/2022,03/31/2022,Joe Biden,North Dakota,Registered Voters,941,0.03,0.25,0.72,-0.47
01/01/2022,03/31/2022,Joe Biden,Ohio,Registered Voters,20892,0.01,0.39,0.58,-0.19
01/01/2022,03/31/2022,Joe Biden,Oklahoma,Registered Voters,5348,0.01,0.29,0.67,-0.39
01/01/2022,03/31/2022,Joe Biden,Oregon,Registered Voters,4822,0.01,0.45,0.51,-0.05
01/01/2022,03/31/2022,Joe Biden,Pennsylvania,Registered Voters,24296,0.01,0.41,0.56,-0.14
01/01/2022,03/31/2022,Joe Biden,Rhode Island,Registered Voters,1840,0.02,0.5,0.46,0.04
01/01/2022,03/31/2022,Joe Biden,South Carolina,Registered Voters,8618,0.01,0.38,0.58,-0.2
01/01/2022,03/31/2022,Joe Biden,South Dakota,Registered Voters,1155,0.03,0.33,0.66,-0.33
01/01/2022,03/31/2022,Joe Biden,Tennessee,Registered Voters,10683,0.01,0.32,0.64,-0.32
01/01/2022,03/31/2022,Joe Biden,Texas,Registered Voters,29171,0.01,0.41,0.55,-0.15
01/01/2022,03/31/2022,Joe Biden,Utah,Registered Voters,2836,0.02,0.37,0.59,-0.23
01/01/2022,03/31/2022,Joe Biden,Vermont,Registered Voters,1028,0.03,0.55,0.42,0.13
01/01/2022,03/31/2022,Joe Biden,Virginia,Registered Voters,12647,0.01,0.46,0.5,-0.04
01/01/2022,03/31/2022,Joe Biden,Washington,Registered Voters,7279,0.01,0.51,0.46,0.05
01/01/2022,03/31/2022,Joe Biden,West Virginia,Registered Voters,3645,0.02,0.24,0.74,-0.5
01/01/2022,03/31/2022,Joe Biden,Wisconsin,Registered Voters,9611,0.01,0.4,0.56,-0.16
01/01/2022,03/31/2022,Joe Biden,Wyoming,Registered Voters,601,0.04,0.25,0.71,-0.47
04/01/2022,06/30/2022,Joe Biden,Alabama,Registered Voters,5925,0.01,0.3,0.66,-0.36
04/01/2022,06/30/2022,Joe Biden,Alaska,Registered Voters,431,0.05,0.37,0.57,-0.2
04/01/2022,06/30/2022,Joe Biden,Arizona,Registered Voters,7242,0.01,0.39,0.58,-0.2
04/01/2022,06/30/2022,Joe Biden,Arkansas,Registered Voters,3579,0.02,0.3,0.66,-0.37
04/01/2022,06/30/2022,Joe Biden,California,Registered Voters,24628,0.01,0.52,0.43,0.09
04/01/2022,06/30/2022,Joe Biden,Colorado,Registered Voters,4492,0.01,0.45,0.51,-0.06
04/01/2022,06/30/2022,Joe Biden,Connecticut,Registered Voters,4579,0.01,0.47,0.49,-0.02
04/01/2022,06/30/2022,Joe Biden,Delaware,Registered Voters,1718,0.02,0.45,0.52,-0.07
